Model,Species,Model Type,Growth category,Across- or within-site percentile,Climate Resolution,Includes temporally varying climate?,Includes site-level mean climate?,Includes site ID,Includes lag-width,Includes Year
RF1c,All,Regression,RWI,N/A,Seasonal,No,Yes,Yes,Yes,Yes
RF2d,All,Regression,RWI,N/A,Seasonal,No,Yes,No,No,No
RF3c,All,Classification,Low-growth,Across,Seasonal,No,Yes,Yes,Yes,Yes
RF3d,All,Classification,Low-growth,Across,Seasonal,No,Yes,No,No,No
RF5c,All,Classification,High-growth,Across,Seasonal,No,Yes,Yes,Yes,Yes
RF5d,All,Classification,High-growth,Across,Seasonal,No,Yes,No,No,No
